"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Boselaphus tragocamelus","Nilgai","Hunting","Cuba Island",c(-77.901600166908, 21.1994944372114),-77.901600166908,21.1994944372114,14498.8056544909
"Boselaphus tragocamelus","Nilgai","Hunting","Romano Island",c(-78.1676175333706, 22.3610526768421),-78.1676175333706,22.3610526768421,14398.6768546341
"Callithrix penicillata","Black-pencilled Marmoset","Zoo","Anchieta Island",c(-45.0668763300852, -23.542079640719),-45.0668763300852,-23.542079640719,864.151105438603
"Callosciurus erythraeus","Pallas's Squirrel","Pet","Europe",c(5.61688904385689, 51.1702917439434),5.61688904385689,51.1702917439434,8596.15175083284
"Callosciurus erythraeus","Pallas's Squirrel","Pet","Europe",c(3.09306645186996, 50.8405880408956),3.09306645186996,50.8405880408956,8772.11961218915
"Callosciurus erythraeus","Pallas's Squirrel","Pet","Iki Island",c(129.717892674691, 33.7865366382635),129.717892674691,33.7865366382635,2514.70314654168
"Callosciurus erythraeus","Pallas's Squirrel","Pet","Fukue Island",c(128.745521589501, 32.6841568410312),128.745521589501,32.6841568410312,2391.89266177955
"Callosciurus erythraeus","Pallas's Squirrel","Fauna Improvement","South America",c(-60.8649838373291, -32.0658515642126),-60.8649838373291,-32.0658515642126,18481.3627735032
"Callosciurus erythraeus","Pallas's Squirrel","Fauna Improvement","South America",c(-63.573901182842, -30.8692745772376),-63.573901182842,-30.8692745772376,18770.0592819191
"Callosciurus erythraeus","Pallas's Squirrel","Pet","Europe",c(8.71611156932176, 45.9387294786106),8.71611156932176,45.9387294786106,8612.26908569906
"Callosciurus finlaysonii","Finlayson's Squirrel","Pet","Europe",c(8.47312124227888, 44.6739865888482),8.47312124227888,44.6739865888482,9003.2723445277
"Callosciurus finlaysonii","Finlayson's Squirrel","Pet","Europe",c(15.7048504223231, 40.0054455527187),15.7048504223231,40.0054455527187,8526.75842366347
"Capra ibex","Alpine Ibex","Conservation, Hunting","Europe",c(13.8026201138095, 46.3965616848685),13.8026201138095,46.3965616848685,514.290836636401
"Capra ibex","Alpine Ibex","Conservation, Hunting","Europe",c(23.5125062164605, 42.117861313619),23.5125062164605,42.117861313619,1355.40953973504
"Capra sibirica","Siberian Ibex","Conservation","Asia",c(107.017260421152, 47.8246992825976),107.017260421152,47.8246992825976,1681.19455078992
"Capreolus capreolus","European Roe Deer","Hunting","Ireland Island",c(-6.30838755649534, 53.1796975754539),-6.30838755649534,53.1796975754539,1812.7062046078
"Capreolus capreolus","European Roe Deer","Hunting","Ireland Island",c(-6.36872787340718, 54.1126270242527),-6.36872787340718,54.1126270242527,1809.66720482365
"Castor canadensis","American Beaver","Wild Fur","Asia",c(158.528927129973, 54.9827522391233),158.528927129973,54.9827522391233,5960.91598508245
"Castor canadensis","American Beaver","Wild Fur","South America",c(-71.3331171935302, -53.5619780735546),-71.3331171935302,-53.5619780735546,11961.3696267354
"Castor canadensis","American Beaver","Wild Fur","Louise Island",c(-131.775649434479, 52.9549001669597),-131.775649434479,52.9549001669597,1786.4309139788
"Castor canadensis","American Beaver","Conservation, Zoo","Europe",c(6.25114953630972, 49.9288676313022),6.25114953630972,49.9288676313022,7203.91876192023
"Cervus nippon","Sika Deer","Hunting","Green Island",c(121.482233682316, 22.6609905913284),121.482233682316,22.6609905913284,2180.99687527593
