"Species1","Species2","n_virus"
"Allochrocebus preussi","Malacomys longipes",1
"Allochrocebus preussi","Marmota monax",1
"Allochrocebus preussi","Monodelphis domestica",1
"Allochrocebus preussi","Muscardinus avellanarius",1
"Allochrocebus preussi","Myomimus roachi",1
"Allochrocebus preussi","Myrmecophaga tridactyla",1
"Allochrocebus preussi","Nasua nasua",1
"Allochrocebus preussi","Pan troglodytes",1
"Allochrocebus preussi","Piliocolobus badius",1
"Allochrocebus preussi","Pongo pygmaeus",1
"Allochrocebus preussi","Rhabdomys dilectus",1
"Allochrocebus preussi","Rhabdomys pumilio",1
"Allochrocebus preussi","Saimiri sciureus",1
"Allochrocebus preussi","Sapajus apella",1
"Allochrocebus preussi","Semnopithecus entellus",1
"Allochrocebus preussi","Trachypithecus cristatus",1
"Allochrocebus solatus","Alouatta caraya",1
"Allochrocebus solatus","Atherurus africanus",1
"Allochrocebus solatus","Atherurus macrourus",1
"Allochrocebus solatus","Callithrix jacchus",1
"Allochrocebus solatus","Cercocebus galeritus",1
"Allochrocebus solatus","Cercopithecus ascanius",1
"Allochrocebus solatus","Cercopithecus campbelli",1
"Allochrocebus solatus","Cercopithecus cephus",1
"Allochrocebus solatus","Cercopithecus denti",1
"Allochrocebus solatus","Cercopithecus diana",1
"Allochrocebus solatus","Cercopithecus dryas",1
"Allochrocebus solatus","Cercopithecus erythrogaster",1
"Allochrocebus solatus","Cercopithecus erythrotis",1
"Allochrocebus solatus","Cercopithecus hamlyni",1
"Allochrocebus solatus","Cercopithecus mitis",1
"Allochrocebus solatus","Cercopithecus mona",1
"Allochrocebus solatus","Cercopithecus neglectus",1
"Allochrocebus solatus","Cercopithecus nictitans",1
"Allochrocebus solatus","Cercopithecus petaurista",1
"Allochrocebus solatus","Cercopithecus roloway",1
"Allochrocebus solatus","Cercopithecus sclateri",1
"Allochrocebus solatus","Chinchilla lanigera",1
"Allochrocebus solatus","Chlorocebus aethiops",1
"Allochrocebus solatus","Cricetomys ansorgei",1
"Allochrocebus solatus","Cricetomys emini",1
"Allochrocebus solatus","Cricetomys gambianus",1
"Allochrocebus solatus","Crocidura littoralis",1
"Allochrocebus solatus","Cynomys gunnisoni",1
"Allochrocebus solatus","Cynomys leucurus",1
"Allochrocebus solatus","Cynomys ludovicianus",1
"Allochrocebus solatus","Cynomys mexicanus",1
"Allochrocebus solatus","Cynomys parvidens",1
"Allochrocebus solatus","Didelphis marsupialis",1
"Allochrocebus solatus","Dryomys laniger",1
"Allochrocebus solatus","Dryomys nitedula",1
"Allochrocebus solatus","Eliomys melanurus",1
"Allochrocebus solatus","Eliomys quercinus",1
"Allochrocebus solatus","Funisciurus anerythrus",1
"Allochrocebus solatus","Funisciurus carruthersi",1
"Allochrocebus solatus","Funisciurus congicus",1
"Allochrocebus solatus","Funisciurus lemniscatus",1
"Allochrocebus solatus","Funisciurus pyrropus",1
"Allochrocebus solatus","Glirulus japonicus",1
"Allochrocebus solatus","Glis glis",1
"Allochrocebus solatus","Gorilla gorilla",1
"Allochrocebus solatus","Graphiurus kelleni",1
"Allochrocebus solatus","Graphiurus lorraineus",1
"Allochrocebus solatus","Graphiurus microtis",1
"Allochrocebus solatus","Graphiurus murinus",1
"Allochrocebus solatus","Graphiurus ocularis",1
"Allochrocebus solatus","Graphiurus platyops",1
"Allochrocebus solatus","Heliosciurus gambianus",1
"Allochrocebus solatus","Heliosciurus rufobrachium",1
